variety_id,variety_slug,category,label,url,type
59,new-red-fire,lettuce,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/lettuce/leaf-lettuce/new-red-fire-organic-lettuce-seed-430G.html,breeder
59,new-red-fire,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
60,salanova-red-butter,lettuce,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/lettuce/salanova-lettuce/salanova-red-butter-pelleted-lettuce-seed-3057JP.html,breeder
60,salanova-red-butter,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
61,red-leaf-lettuce,lettuce,NC State Extension,https://plants.ces.ncsu.edu/plants/amaranthus-tricolor/,extension
61,red-leaf-lettuce,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
62,arugula,lettuce,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/microgreens/microgreen-vegetables/arugula-microgreen-seed-385M.html,breeder
62,arugula,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
64,spinach,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
65,m-che-corn-salad,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
66,genovese-basil,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/172232/nutrients,usda
67,english-lavender,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/172232/nutrients,usda
68,flat-leaf-parsley,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170416/nutrients,usda
69,greek-oregano,herb,Johnny's Selected Seeds,https://www.johnnyseeds.com/herbs/oregano/greek-oregano-herb-seed-930.html,breeder
69,greek-oregano,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/171328/nutrients,usda
70,common-thyme,herb,NC State Extension,https://plants.ces.ncsu.edu/plants/thymus-vulgaris/,extension
70,common-thyme,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/173470/nutrients,usda
71,sweet-basil,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/172232/nutrients,usda
72,curly-parsley,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170416/nutrients,usda
73,garden-sage,herb,NC State Extension,https://plants.ces.ncsu.edu/plants/salvia-officinalis/,extension
73,garden-sage,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170935/nutrients,usda
